Time Interval, Browse Path, Value Source, Data Type
0,Discrete_Valve1/Status_Open,TRUE,Boolean
0,Discrete_Valve1/Status_Closed,FALSE,Boolean
0,Discrete_Valve1/Status_Remote,TRUE,Boolean
0,Discrete_Valve1/Status_Permissive,TRUE,Boolean
0,Discrete_Valve1/HOA,2,Int16
0,Discrete_Valve1/Req_Auto,TRUE,Boolean
0,Discrete_Valve1/Req_Open,FALSE,Boolean
0,Discrete_Valve1/Req_Close,FALSE,Boolean
0,Discrete_Valve1/OOS,FALSE,Boolean
0,Discrete_Valve1/Status_Interlock1,FALSE,Boolean
0,Discrete_Valve1/Status_Interlock2,FALSE,Boolean
0,Discrete_Valve1/Status_Interlock3,FALSE,Boolean
0,Discrete_Valve1/Req_Alarm_Reset,FALSE,Boolean
0,Discrete_Valve1/Alarm_Fail_To_Respond,FALSE,Boolean
0,Discrete_Valve1/Alarm_Fail_To_Respond_Delay,3,Double
0,Discrete_Valve1/Alarm_Fail_To_Respond_Enable,TRUE,Boolean
0,Discrete_Valve1/Alarm_Fault,FALSE,Boolean
0,Discrete_Valve1/Alarm_Fault_Delay,3,Double
0,Discrete_Valve1/Alarm_Fault_Enable,TRUE,Boolean
0,Discrete_Valve1/Cycles_CD,12,Int64
0,Discrete_Valve1/Cycles_PD,23,Int64
0,Discrete_Valve1/Cycles_CM,132,Int64
0,Discrete_Valve1/Cycles_PM,375,Int64
0,Discrete_Valve1/Cycles_TOT,34845,Int64
0,Discrete_Valve1/Cycles_TOT_Reset,FALSE,Boolean
0,Discrete_Valve2/Status_Open,FALSE,Boolean
0,Discrete_Valve2/Status_Closed,TRUE,Boolean
0,Discrete_Valve2/Status_Remote,TRUE,Boolean
0,Discrete_Valve2/Status_Permissive,TRUE,Boolean
0,Discrete_Valve2/HOA,0,Int16
0,Discrete_Valve2/Req_Auto,FALSE,Boolean
0,Discrete_Valve2/Req_Open,FALSE,Boolean
0,Discrete_Valve2/Req_Close,TRUE,Boolean
0,Discrete_Valve2/OOS,FALSE,Boolean
0,Discrete_Valve2/Status_Interlock1,FALSE,Boolean
0,Discrete_Valve2/Status_Interlock2,FALSE,Boolean
0,Discrete_Valve2/Status_Interlock3,FALSE,Boolean
0,Discrete_Valve2/Req_Alarm_Reset,FALSE,Boolean
0,Discrete_Valve2/Alarm_Fail_To_Respond,FALSE,Boolean
0,Discrete_Valve2/Alarm_Fail_To_Respond_Delay,3,Double
0,Discrete_Valve2/Alarm_Fail_To_Respond_Enable,TRUE,Boolean
0,Discrete_Valve2/Alarm_Fault,FALSE,Boolean
0,Discrete_Valve2/Alarm_Fault_Delay,3,Double
0,Discrete_Valve2/Alarm_Fault_Enable,TRUE,Boolean
0,Discrete_Valve2/Cycles_CD,11,Int64
0,Discrete_Valve2/Cycles_PD,21,Int64
0,Discrete_Valve2/Cycles_CM,121,Int64
0,Discrete_Valve2/Cycles_PM,363,Int64
0,Discrete_Valve2/Cycles_TOT,31845,Int64
0,Discrete_Valve2/Cycles_TOT_Reset,FALSE,Boolean
0,Discrete_Valve3/Status_Open,TRUE,Boolean
0,Discrete_Valve3/Status_Closed,FALSE,Boolean
0,Discrete_Valve3/Status_Remote,TRUE,Boolean
0,Discrete_Valve3/Status_Permissive,TRUE,Boolean
0,Discrete_Valve3/HOA,1,Int16
0,Discrete_Valve3/Req_Auto,TRUE,Boolean
0,Discrete_Valve3/Req_Open,FALSE,Boolean
0,Discrete_Valve3/Req_Close,FALSE,Boolean
0,Discrete_Valve3/OOS,FALSE,Boolean
0,Discrete_Valve3/Status_Interlock1,FALSE,Boolean
0,Discrete_Valve3/Status_Interlock2,FALSE,Boolean
0,Discrete_Valve3/Status_Interlock3,FALSE,Boolean
0,Discrete_Valve3/Req_Alarm_Reset,FALSE,Boolean
0,Discrete_Valve3/Alarm_Fail_To_Respond,FALSE,Boolean
0,Discrete_Valve3/Alarm_Fail_To_Respond_Delay,3,Double
0,Discrete_Valve3/Alarm_Fail_To_Respond_Enable,TRUE,Boolean
0,Discrete_Valve3/Alarm_Fault,FALSE,Boolean
0,Discrete_Valve3/Alarm_Fault_Delay,3,Double
0,Discrete_Valve3/Alarm_Fault_Enable,TRUE,Boolean
0,Discrete_Valve3/Cycles_CD,6,Int64
0,Discrete_Valve3/Cycles_PD,12,Int64
0,Discrete_Valve3/Cycles_CM,120,Int64
0,Discrete_Valve3/Cycles_PM,287,Int64
0,Discrete_Valve3/Cycles_TOT,24845,Int64
0,Discrete_Valve3/Cycles_TOT_Reset,FALSE,Boolean
0,Discrete_Valve4/Status_Open,FALSE,Boolean
0,Discrete_Valve4/Status_Closed,FALSE,Boolean
0,Discrete_Valve4/Status_Remote,TRUE,Boolean
0,Discrete_Valve4/Status_Permissive,TRUE,Boolean
0,Discrete_Valve4/HOA,2,Int16
0,Discrete_Valve4/Req_Auto,TRUE,Boolean
0,Discrete_Valve4/Req_Open,FALSE,Boolean
0,Discrete_Valve4/Req_Close,FALSE,Boolean
0,Discrete_Valve4/OOS,FALSE,Boolean
0,Discrete_Valve4/Status_Interlock1,FALSE,Boolean
0,Discrete_Valve4/Status_Interlock2,FALSE,Boolean
0,Discrete_Valve4/Status_Interlock3,FALSE,Boolean
0,Discrete_Valve4/Req_Alarm_Reset,FALSE,Boolean
0,Discrete_Valve4/Alarm_Fail_To_Respond,FALSE,Boolean
0,Discrete_Valve4/Alarm_Fail_To_Respond_Delay,3,Double
0,Discrete_Valve4/Alarm_Fail_To_Respond_Enable,TRUE,Boolean
0,Discrete_Valve4/Alarm_Fault,TRUE,Boolean
0,Discrete_Valve4/Alarm_Fault_Delay,3,Double
0,Discrete_Valve4/Alarm_Fault_Enable,TRUE,Boolean
0,Discrete_Valve4/Cycles_CD,12,Int64
0,Discrete_Valve4/Cycles_PD,23,Int64
0,Discrete_Valve4/Cycles_CM,132,Int64
0,Discrete_Valve4/Cycles_PM,375,Int64
0,Discrete_Valve4/Cycles_TOT,34845,Int64
0,Discrete_Valve4/Cycles_TOT_Reset,FALSE,Boolean
0,Discrete_Valve5/Status_Open,TRUE,Boolean
0,Discrete_Valve5/Status_Closed,FALSE,Boolean
0,Discrete_Valve5/Status_Remote,TRUE,Boolean
0,Discrete_Valve5/Status_Permissive,TRUE,Boolean
0,Discrete_Valve5/HOA,2,Int16
